time,CSC_count,PC_count,mean_nutrient
1.458507232871646011e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.694133991812013629e+120
1.458698395132719270e+03,1.600000000000000000e+01,2.370000000000000000e+02,9.665096541468329317e+120
1.458983066050193884e+03,1.600000000000000000e+01,2.370000000000000000e+02,9.621984697314447731e+120
1.459039762814624510e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.613436584594962343e+120
1.459071337139002708e+03,1.600000000000000000e+01,2.390000000000000000e+02,9.608680385396804294e+120
1.459241179410738368e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.583108847897525995e+120
1.459456212776626671e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.550819477482788952e+120
1.459467073534469137e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.549194123087024832e+120
1.459503494799558439e+03,1.600000000000000000e+01,2.370000000000000000e+02,9.543744467549986125e+120
1.459626423138361133e+03,1.600000000000000000e+01,2.380000000000000000e+02,9.525361394261233886e+120
1.459638573427171877e+03,1.600000000000000000e+01,2.370000000000000000e+02,9.523547903421416051e+120
1.459822569094272012e+03,1.600000000000000000e+01,2.360000000000000000e+02,9.496090866369360904e+120
1.459912978893916943e+03,1.700000000000000000e+01,2.360000000000000000e+02,9.482638221684179534e+120
1.460000881206772419e+03,1.700000000000000000e+01,2.370000000000000000e+02,9.469577210924310997e+120
1.460014076496978305e+03,1.700000000000000000e+01,2.360000000000000000e+02,9.467619282376152107e+120
1.460209781602791509e+03,1.700000000000000000e+01,2.360000000000000000e+02,9.438586393961597065e+120
1.460453850515925296e+03,1.700000000000000000e+01,2.370000000000000000e+02,9.402489758316226966e+120
1.460653659500800359e+03,1.700000000000000000e+01,2.370000000000000000e+02,9.373051969485153209e+120
1.460883013715512334e+03,1.700000000000000000e+01,2.380000000000000000e+02,9.339367085687565725e+120
1.461025496144149429e+03,1.700000000000000000e+01,2.380000000000000000e+02,9.318516125546060563e+120
1.461229404398736506e+03,1.700000000000000000e+01,2.380000000000000000e+02,9.288742695427512355e+120
1.461421452807177957e+03,1.700000000000000000e+01,2.390000000000000000e+02,9.260790562795023525e+120
1.461533526145336964e+03,1.700000000000000000e+01,2.390000000000000000e+02,9.244527674704310537e+120
1.461766310471801944e+03,1.700000000000000000e+01,2.400000000000000000e+02,9.210807814482167759e+120
1.461904024089413042e+03,1.700000000000000000e+01,2.400000000000000000e+02,9.190932138375276544e+120
1.461941043423350266e+03,1.700000000000000000e+01,2.400000000000000000e+02,9.185600809630238297e+120
1.461965601838402563e+03,1.700000000000000000e+01,2.410000000000000000e+02,9.182066088094321213e+120
1.462019025129882039e+03,1.700000000000000000e+01,2.410000000000000000e+02,9.174379769896035306e+120
1.462103211108128335e+03,1.700000000000000000e+01,2.410000000000000000e+02,9.162277585116151868e+120
1.462525470083861137e+03,1.700000000000000000e+01,2.410000000000000000e+02,9.101755947654670729e+120
